epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
1,0.566743,0.171244,0.289131,0.138614,0.038739,0.6,0.076923,0.038739,0.286667,0.036051,0.38,0.171244
2,0.274347,0.141825,0.322745,0.034653,0.021918,0.466667,0.045455,0.021918,0.213333,0.020622,0.385,0.171244
3,0.247979,0.2008,0.411716,0.164604,0.059322,0.466667,0.104478,0.059322,0.233333,0.051222,0.79,0.2008
4,0.217873,0.168592,0.526953,0.069307,0.052632,0.533333,0.125,0.052632,0.2,0.045435,0.845,0.2008
5,0.202958,0.196025,0.517327,0.16148,0.074603,0.6,0.130435,0.074603,0.313333,0.066096,0.499,0.2008
6,0.185621,0.206099,0.478548,0.149557,0.038182,0.533333,0.068376,0.038182,0.28,0.035374,0.567,0.206099
7,0.178898,0.142895,0.351427,0.093856,0.064,0.6,0.111111,0.064,0.32,0.058176,0.491,0.206099
8,0.168701,0.194566,0.418858,0.198545,0.122222,0.533333,0.186047,0.122222,0.293333,0.099192,0.468,0.206099
9,0.16459,0.215226,0.366337,0.180198,0.155172,0.466667,0.189189,0.155172,0.3,0.117892,0.603,0.215226
10,0.15897,0.21016,0.534653,0.150165,0.119355,0.533333,0.210526,0.119355,0.246667,0.091849,0.479,0.215226
11,0.151205,0.202295,0.452145,0.184068,0.093023,0.466667,0.137255,0.093023,0.266667,0.076404,0.527,0.215226
12,0.144904,0.193767,0.362976,0.111273,0.140625,0.533333,0.205128,0.140625,0.3,0.11182,0.342,0.215226
13,0.135344,0.183952,0.409406,0.153383,0.088372,0.466667,0.137255,0.088372,0.253333,0.072104,0.532,0.215226
14,0.136866,0.223568,0.488861,0.18529,0.125,0.533333,0.205128,0.125,0.266667,0.097641,0.581,0.223568
15,0.134393,0.178737,0.270179,0.245717,0.15,0.4,0.171429,0.15,0.26,0.10828,0.51,0.223568
16,0.137069,0.131664,0.338013,0.092959,0.086538,0.6,0.155172,0.086538,0.3,0.07487,0.481,0.223568
17,0.118834,0.204125,0.405941,0.224422,0.168182,0.4,0.193548,0.168182,0.246667,0.116335,0.52,0.223568
18,0.112797,0.157498,0.490549,0.094059,0.14,0.533333,0.25,0.14,0.233333,0.101985,0.555,0.223568
19,0.115818,0.173693,0.520792,0.028434,0.132143,0.533333,0.228571,0.132143,0.246667,0.100356,0.554,0.223568
20,0.11818,0.156437,0.437928,0.05509,0.102632,0.533333,0.177778,0.102632,0.26,0.083768,0.522,0.223568
21,0.106856,0.145087,0.493261,0.063375,0.075,0.6,0.166667,0.075,0.24,0.062783,0.528,0.223568
22,0.114679,0.164298,0.460396,0.112447,0.054412,0.533333,0.106667,0.054412,0.246667,0.047824,0.462,0.223568
23,0.115671,0.174381,0.344059,0.173267,0.088571,0.4,0.136364,0.088571,0.206667,0.06903,0.563,0.223568
24,0.096442,0.218523,0.565842,0.170792,0.22381,0.6,0.333333,0.22381,0.313333,0.16009,0.5,0.223568
25,0.109342,0.209818,0.534653,0.224422,0.141667,0.533333,0.258065,0.141667,0.226667,0.101017,0.523,0.223568
26,0.101021,0.185728,0.465347,0.10396,0.125,0.466667,0.21875,0.125,0.2,0.089133,0.516,0.223568
27,0.093567,0.211023,0.50231,0.157096,0.152,0.533333,0.25,0.152,0.253333,0.112341,0.513,0.223568
28,0.098753,0.196146,0.573639,0.207214,0.156,0.6,0.290323,0.156,0.26,0.116064,0.476,0.223568
29,0.094896,0.184286,0.484466,0.173267,0.103226,0.533333,0.210526,0.103226,0.213333,0.079443,0.35,0.223568
30,0.094225,0.177204,0.35785,0.145215,0.152381,0.4,0.2,0.152381,0.213333,0.10336,0.54,0.223568
31,0.093692,0.209936,0.465347,0.22454,0.269231,0.466667,0.333333,0.269231,0.233333,0.155939,0.462,0.223568
32,0.096087,0.16462,0.333663,0.138614,0.163158,0.4,0.214286,0.163158,0.206667,0.107568,0.476,0.223568
33,0.093094,0.179986,0.465347,0.168317,0.2,0.466667,0.291667,0.2,0.213333,0.122971,0.465,0.223568
34,0.094143,0.233033,0.515752,0.160216,0.275,0.533333,0.347826,0.275,0.293333,0.176206,0.59,0.233033
35,0.091108,0.184612,0.449257,0.115512,0.161111,0.466667,0.269231,0.161111,0.193333,0.10276,0.486,0.233033
36,0.093258,0.2073,0.518427,0.09703,0.088636,0.6,0.18,0.088636,0.26,0.075012,0.492,0.233033
37,0.088516,0.219448,0.520792,0.173927,0.15,0.533333,0.242424,0.15,0.26,0.110957,0.287,0.233033
38,0.078959,0.253051,0.591359,0.178698,0.236842,0.6,0.36,0.236842,0.3,0.163522,0.571,0.253051
39,0.086585,0.215512,0.534653,0.173267,0.194444,0.533333,0.32,0.194444,0.233333,0.128308,0.506,0.253051
40,0.078574,0.202219,0.494884,0.180198,0.205882,0.533333,0.333333,0.205882,0.233333,0.133219,0.507,0.253051
41,0.078392,0.190547,0.465347,0.138614,0.20625,0.466667,0.291667,0.20625,0.22,0.127601,0.59,0.253051
42,0.079443,0.224022,0.511551,0.173267,0.194737,0.533333,0.307692,0.194737,0.246667,0.130823,0.456,0.253051
43,0.075261,0.244629,0.534653,0.255446,0.271429,0.533333,0.380952,0.271429,0.253333,0.166649,0.47,0.253051
44,0.077857,0.205743,0.447525,0.180198,0.235714,0.466667,0.318182,0.235714,0.22,0.137659,0.476,0.253051
45,0.075444,0.191832,0.433168,0.168317,0.257143,0.466667,0.318182,0.257143,0.24,0.149207,0.574,0.253051
46,0.089373,0.179028,0.448612,0.139044,0.1625,0.533333,0.258065,0.1625,0.26,0.118331,0.475,0.253051
47,0.085127,0.16849,0.456606,0.112338,0.118182,0.533333,0.2,0.118182,0.26,0.092387,0.467,0.253051
48,0.077772,0.178135,0.367162,0.150165,0.333333,0.4,0.333333,0.333333,0.2,0.153689,0.466,0.253051
49,0.082014,0.199472,0.465347,0.157096,0.226667,0.466667,0.304348,0.226667,0.226667,0.135264,0.545,0.253051
50,0.078144,0.18743,0.405375,0.168317,0.20625,0.466667,0.291667,0.20625,0.22,0.128823,0.508,0.253051
51,0.070219,0.201759,0.508326,0.160216,0.278571,0.533333,0.380952,0.278571,0.26,0.16609,0.514,0.253051
52,0.072817,0.194134,0.457921,0.152475,0.275,0.466667,0.35,0.275,0.22,0.148882,0.481,0.253051
53,0.070933,0.204831,0.526953,0.168317,0.283333,0.533333,0.421053,0.283333,0.226667,0.157033,0.498,0.253051
54,0.070623,0.211056,0.440594,0.267327,0.253846,0.466667,0.333333,0.253846,0.22,0.14328,0.477,0.253051
55,0.088158,0.176485,0.367162,0.20132,0.194118,0.4,0.230769,0.194118,0.22,0.121655,0.485,0.253051
56,0.080422,0.191287,0.534653,0.152475,0.261538,0.533333,0.4,0.261538,0.226667,0.149588,0.471,0.253051
57,0.072032,0.188614,0.488861,0.241584,0.194118,0.533333,0.333333,0.194118,0.22,0.126577,0.553,0.253051
58,0.07672,0.180173,0.449257,0.152475,0.25,0.466667,0.35,0.25,0.2,0.137872,0.55,0.253051
