epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
1,0.612633,0.121487,0.372743,0.032673,0.073692,0.719424,0.071633,0.027192,0.265468,0.025996,0.758,0.121487
2,0.312383,0.147013,0.444987,0.04038,0.067776,0.820144,0.066784,0.028419,0.343885,0.027538,0.768,0.147013
3,0.288874,0.163989,0.475668,0.049815,0.128019,0.76259,0.123113,0.053382,0.317986,0.049858,1.113,0.163989
4,0.276969,0.13733,0.477512,0.036114,0.117895,0.805755,0.114637,0.044842,0.306475,0.042232,1.126,0.163989
5,0.265166,0.17147,0.498829,0.071969,0.100564,0.769784,0.097628,0.042763,0.327338,0.040569,0.977,0.17147
6,0.263131,0.167861,0.457891,0.091166,0.149718,0.76259,0.14305,0.066525,0.338849,0.061293,0.918,0.17147
7,0.258819,0.201452,0.569904,0.066996,0.083273,0.827338,0.081851,0.036278,0.360432,0.035002,1.09,0.201452
8,0.243731,0.174976,0.537779,0.043801,0.088889,0.805755,0.087024,0.038333,0.347482,0.036797,0.931,0.201452
9,0.247399,0.137594,0.420774,0.027553,0.110874,0.748201,0.106886,0.04403,0.297122,0.041377,1.042,0.201452
10,0.238187,0.154559,0.444988,0.062356,0.0815,0.719424,0.078989,0.03643,0.321583,0.034665,0.959,0.201452
11,0.234515,0.194287,0.556927,0.083489,0.097646,0.805755,0.0954,0.042546,0.351079,0.040635,0.913,0.201452
12,0.230666,0.179261,0.471992,0.076607,0.137203,0.748201,0.131148,0.060158,0.328058,0.055848,0.892,0.201452
13,0.225062,0.191622,0.530713,0.084563,0.1417,0.755396,0.135484,0.060324,0.321583,0.055826,0.858,0.201452
14,0.221281,0.173726,0.509324,0.055459,0.149086,0.76259,0.142473,0.061041,0.31223,0.056328,0.851,0.201452
15,0.213698,0.159913,0.515631,0.053426,0.151515,0.719424,0.143062,0.062576,0.297122,0.056926,0.891,0.201452
16,0.214434,0.17602,0.48339,0.089769,0.110228,0.798561,0.107246,0.049355,0.357554,0.046765,0.911,0.201452
17,0.209322,0.184542,0.537564,0.086678,0.134518,0.76259,0.129111,0.057995,0.328777,0.053855,0.863,0.201452
