epoch,train_loss,val_mAP,val_AP50,val_AP75,P50,R50,A50,P5095,R5095,A5095,time_min,best_mAP_so_far
1,0.508527,0.099532,0.351111,0.01721,0.165072,0.726316,0.155405,0.065869,0.289825,0.059699,2.315,0.099532
2,0.36674,0.077244,0.322652,0.01086,0.10756,0.74386,0.103718,0.036986,0.255789,0.034691,2.02,0.099532
3,0.362945,0.144573,0.508427,0.036452,0.148936,0.835088,0.144681,0.056571,0.317193,0.052808,2.251,0.144573
4,0.356687,0.158923,0.524338,0.045274,0.160142,0.789474,0.153584,0.062491,0.30807,0.057636,2.488,0.158923
5,0.341733,0.149425,0.498119,0.046744,0.122617,0.835088,0.119718,0.047759,0.325263,0.045189,2.442,0.158923
6,0.334906,0.1659,0.552533,0.042563,0.154778,0.807018,0.149254,0.060431,0.315088,0.056021,2.237,0.1659
7,0.334417,0.134846,0.446719,0.034243,0.169542,0.792982,0.162356,0.066917,0.312982,0.061732,2.387,0.1659
8,0.320426,0.156753,0.501854,0.049077,0.174188,0.77193,0.165663,0.068171,0.302105,0.062125,2.157,0.1659
9,0.319149,0.130763,0.453713,0.025444,0.181074,0.698246,0.167932,0.066424,0.25614,0.058953,2.2,0.1659
10,0.316497,0.154766,0.510191,0.030428,0.217256,0.733333,0.201349,0.08316,0.280702,0.073338,2.138,0.1659
11,0.307197,0.144963,0.525906,0.023051,0.201627,0.782456,0.190925,0.075588,0.293333,0.068116,2.132,0.1659
12,0.30062,0.153676,0.53588,0.04025,0.196112,0.814035,0.187702,0.073542,0.305263,0.06687,2.15,0.1659
13,0.295218,0.160047,0.541776,0.045012,0.216164,0.778947,0.20367,0.081402,0.293333,0.072632,2.156,0.1659
14,0.289141,0.117954,0.448651,0.010286,0.213147,0.750877,0.19907,0.076195,0.268421,0.067615,2.158,0.1659
15,0.288503,0.138444,0.460016,0.0329,0.203169,0.764912,0.191228,0.081174,0.305614,0.072805,2.159,0.1659
16,0.28399,0.152052,0.497568,0.060044,0.264744,0.708772,0.238771,0.103014,0.275789,0.087305,2.139,0.1659
17,0.287416,0.147005,0.50498,0.025574,0.265873,0.705263,0.239286,0.098942,0.262456,0.083563,2.167,0.1659
18,0.283139,0.140586,0.483782,0.041116,0.222851,0.691228,0.202675,0.083032,0.257544,0.07152,2.146,0.1659
19,0.27679,0.140462,0.452741,0.034373,0.232311,0.691228,0.21047,0.086792,0.258246,0.074447,2.154,0.1659
20,0.265455,0.142931,0.492792,0.033657,0.269648,0.698246,0.241505,0.103388,0.267719,0.087147,2.149,0.1659
21,0.264002,0.136839,0.471946,0.029076,0.272981,0.687719,0.242875,0.102646,0.258596,0.085851,2.136,0.1659
22,0.261746,0.134185,0.462056,0.045594,0.218889,0.691228,0.199393,0.080333,0.253684,0.069325,2.162,0.1659
23,0.25593,0.125697,0.434701,0.022203,0.271212,0.62807,0.233681,0.098636,0.228421,0.079791,2.173,0.1659
24,0.251616,0.140913,0.470444,0.071722,0.289231,0.659649,0.251673,0.113692,0.259298,0.092242,2.154,0.1659
25,0.255104,0.137021,0.497602,0.047128,0.286704,0.726316,0.25875,0.106233,0.269123,0.089137,2.158,0.1659
26,0.248438,0.126908,0.463198,0.026386,0.313531,0.666667,0.271041,0.112211,0.238596,0.090108,2.167,0.1659
27,0.246383,0.129863,0.457387,0.040709,0.3088,0.677193,0.269177,0.1088,0.238596,0.088084,2.208,0.1659
28,0.240692,0.132069,0.418708,0.046715,0.304858,0.638596,0.26,0.120436,0.252281,0.096211,2.141,0.1659
29,0.239502,0.120299,0.415744,0.027027,0.290323,0.631579,0.248276,0.107581,0.234035,0.086105,2.17,0.1659
30,0.234679,0.133047,0.439223,0.041094,0.264498,0.65614,0.232298,0.101273,0.251228,0.083738,2.167,0.1659
31,0.23022,0.129934,0.446756,0.042735,0.226959,0.691228,0.206067,0.086636,0.26386,0.074326,2.139,0.1659
32,0.232047,0.151868,0.477462,0.057105,0.268493,0.687719,0.239316,0.104247,0.267018,0.087471,2.132,0.1659
33,0.22272,0.145681,0.495002,0.043311,0.314286,0.694737,0.276151,0.114127,0.252281,0.092941,2.133,0.1659
34,0.219551,0.138759,0.491643,0.041326,0.298351,0.698246,0.264276,0.105997,0.24807,0.087371,2.133,0.1659
35,0.216871,0.139451,0.477738,0.03717,0.27209,0.680702,0.241294,0.101683,0.254386,0.084512,2.222,0.1659
36,0.21017,0.145201,0.482686,0.044002,0.251673,0.659649,0.222749,0.094511,0.247719,0.078824,2.12,0.1659
37,0.214711,0.127539,0.418428,0.038155,0.341748,0.617544,0.282051,0.128932,0.232982,0.098892,2.143,0.1659
38,0.209314,0.172904,0.522547,0.060071,0.295292,0.726316,0.265725,0.118688,0.29193,0.100032,2.177,0.172904
39,0.208525,0.137012,0.441368,0.048877,0.337891,0.607018,0.277244,0.125586,0.225614,0.095763,2.376,0.172904
