epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.619,2.48614,13.773,1.95817,0.30852,0.34644,0.23907,0.09665,2.16627,2.64965,1.94214,0.000664996,0.000664996,0.000664996
2,415.316,2.2389,2.61525,1.8954,0.22714,0.35254,0.17853,0.07226,2.10188,2.3566,1.89267,0.00132287,0.00132287,0.00132287
3,524.594,2.21179,2.55107,1.86278,0.36374,0.36881,0.30786,0.13042,2.07552,2.83826,1.86212,0.00197195,0.00197195,0.00197195
4,633.503,2.17905,2.4127,1.83963,0.28539,0.29351,0.23819,0.09063,2.23122,2.4822,2.00354,0.0019604,0.0019604,0.0019604
5,742.421,2.1289,2.34967,1.82439,0.40086,0.32203,0.32181,0.11615,2.01904,2.56201,1.82786,0.0019472,0.0019472,0.0019472
6,851.386,2.07649,2.27275,1.75662,0.43585,0.42478,0.40648,0.1723,2.03651,2.09976,1.86015,0.001934,0.001934,0.001934
7,960.369,2.09552,2.26496,1.78135,0.35742,0.40814,0.31937,0.13693,1.8939,2.10835,1.76133,0.0019208,0.0019208,0.0019208
8,1069.19,2.04472,2.20834,1.74621,0.41784,0.38237,0.35666,0.14344,1.98688,2.36922,1.7785,0.0019076,0.0019076,0.0019076
9,1177.89,2.0132,2.14452,1.72286,0.40893,0.42508,0.38818,0.17359,1.90249,2.08576,1.78469,0.0018944,0.0018944,0.0018944
10,1287.05,2.00107,2.11195,1.71287,0.47443,0.44339,0.43093,0.18548,1.85713,2.00247,1.73907,0.0018812,0.0018812,0.0018812
11,1395.88,1.95704,2.02345,1.69479,0.4849,0.45424,0.46396,0.20228,1.85248,2.08614,1.74485,0.001868,0.001868,0.001868
12,1504.9,1.93144,1.96759,1.67232,0.51675,0.50508,0.50679,0.21109,1.87519,2.05088,1.74354,0.0018548,0.0018548,0.0018548
13,1614.22,1.93663,1.99214,1.67941,0.43637,0.43458,0.40966,0.19184,1.88546,2.02412,1.75066,0.0018416,0.0018416,0.0018416
14,1723.13,1.8771,1.87702,1.64759,0.49071,0.48814,0.48149,0.19206,1.89909,2.44377,1.76731,0.0018284,0.0018284,0.0018284
15,1831.88,1.89734,1.91066,1.65177,0.61424,0.46169,0.53822,0.239,1.808,1.88942,1.69379,0.0018152,0.0018152,0.0018152
16,1940.83,1.8973,1.87881,1.66361,0.50494,0.51593,0.49326,0.22134,1.80876,1.83333,1.6753,0.001802,0.001802,0.001802
17,2049.52,1.86242,1.84375,1.62467,0.54082,0.50237,0.5321,0.24972,1.788,1.90592,1.70666,0.0017888,0.0017888,0.0017888
18,2158.65,1.84802,1.84884,1.64654,0.56196,0.54237,0.55508,0.25726,1.76131,1.75961,1.67072,0.0017756,0.0017756,0.0017756
19,2267.79,1.85706,1.81842,1.62626,0.59324,0.53492,0.57474,0.25374,1.73887,1.76882,1.66282,0.0017624,0.0017624,0.0017624
20,2376.58,1.83969,1.77866,1.62016,0.5903,0.52203,0.55608,0.24181,1.81859,1.89427,1.71809,0.0017492,0.0017492,0.0017492
21,2485.32,1.81959,1.80775,1.61454,0.63028,0.53744,0.59109,0.29045,1.71779,1.65057,1.64781,0.001736,0.001736,0.001736
22,2594.28,1.80334,1.74518,1.61213,0.5846,0.52858,0.57035,0.27285,1.71506,1.66815,1.63183,0.0017228,0.0017228,0.0017228
23,2702.87,1.79455,1.72729,1.58789,0.62389,0.54441,0.60009,0.29731,1.65057,1.64992,1.59845,0.0017096,0.0017096,0.0017096
