epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,275.537,2.44113,6.72248,1.88045,0.35626,0.36126,0.27082,0.09051,2.22136,2.22119,2.03784,0.000664634,0.000664634,0.000664634
2,547.62,2.1912,2.27947,1.78562,0.36918,0.43669,0.35483,0.12732,2.06353,2.67556,1.89693,0.00131812,0.00131812,0.00131812
3,819.079,2.14699,2.18193,1.75513,0.34139,0.41433,0.31288,0.1114,2.04792,2.19122,1.77505,0.00195841,0.00195841,0.00195841
4,1090.09,2.13969,2.08887,1.74506,0.29387,0.42267,0.28034,0.09444,2.08015,2.40853,1.84005,0.0019406,0.0019406,0.0019406
5,1360.76,2.11981,2.06832,1.72808,0.41535,0.45868,0.3992,0.14648,2.03034,1.92752,1.81456,0.0019208,0.0019208,0.0019208
6,1631.85,2.09117,1.99421,1.71989,0.40784,0.46664,0.40047,0.1432,1.96577,1.99593,1.74854,0.001901,0.001901,0.001901
7,1902.81,2.05332,1.92018,1.69291,0.41834,0.51213,0.40173,0.14549,1.95733,1.90968,1.7243,0.0018812,0.0018812,0.0018812
8,2173.53,2.03638,1.89367,1.68325,0.48541,0.51635,0.48659,0.18699,1.95475,1.77643,1.74815,0.0018614,0.0018614,0.0018614
9,2444.26,2.01925,1.82478,1.66001,0.51225,0.48749,0.49699,0.1894,1.95402,1.79934,1.74988,0.0018416,0.0018416,0.0018416
10,2715.46,1.99324,1.81082,1.64953,0.52893,0.50569,0.51175,0.18996,1.96439,1.82442,1.7463,0.0018218,0.0018218,0.0018218
11,2986.29,1.98353,1.79846,1.67113,0.53355,0.54284,0.52967,0.19858,1.95013,1.81917,1.71584,0.001802,0.001802,0.001802
12,3257.11,1.97622,1.72687,1.64306,0.50667,0.50986,0.4942,0.19711,1.96454,1.7048,1.77728,0.0017822,0.0017822,0.0017822
13,3527.58,1.95751,1.71129,1.63301,0.61408,0.52729,0.58817,0.23496,1.90283,1.63871,1.74626,0.0017624,0.0017624,0.0017624
14,3798.16,1.939,1.67937,1.63439,0.58205,0.56103,0.59787,0.23946,1.90714,1.59162,1.75306,0.0017426,0.0017426,0.0017426
15,4069.24,1.93962,1.65782,1.62024,0.57398,0.52767,0.56045,0.2273,1.90297,1.62253,1.73194,0.0017228,0.0017228,0.0017228
16,4340.12,1.90992,1.64691,1.62028,0.63896,0.56141,0.61787,0.25459,1.89309,1.57849,1.69247,0.001703,0.001703,0.001703
17,4611.12,1.8902,1.60573,1.58741,0.58686,0.57456,0.59055,0.22993,1.89061,1.6508,1.69744,0.0016832,0.0016832,0.0016832
18,4882.03,1.87558,1.57386,1.58081,0.58311,0.59553,0.60176,0.24781,1.82919,1.58315,1.66945,0.0016634,0.0016634,0.0016634
19,5152.87,1.86711,1.57413,1.59037,0.63777,0.58795,0.62644,0.26569,1.84137,1.52863,1.69084,0.0016436,0.0016436,0.0016436
20,5423.57,1.85497,1.51222,1.57936,0.62273,0.5794,0.62948,0.26711,1.84026,1.51759,1.69533,0.0016238,0.0016238,0.0016238
21,5694.53,1.85797,1.50522,1.57945,0.66524,0.58681,0.65258,0.28016,1.82852,1.48032,1.68022,0.001604,0.001604,0.001604
22,5965.53,1.82963,1.49862,1.56739,0.69527,0.57847,0.66076,0.29023,1.8021,1.42822,1.67533,0.0015842,0.0015842,0.0015842
23,6236.43,1.81436,1.44366,1.56039,0.69829,0.60311,0.68109,0.30619,1.78554,1.38278,1.67227,0.0015644,0.0015644,0.0015644
24,6507.57,1.7911,1.43617,1.54538,0.6893,0.63578,0.69043,0.31071,1.77392,1.39055,1.64256,0.0015446,0.0015446,0.0015446
25,6778.5,1.78981,1.42026,1.53787,0.668,0.65163,0.6977,0.30874,1.77414,1.39894,1.6425,0.0015248,0.0015248,0.0015248
26,7049.1,1.76914,1.37574,1.5251,0.72211,0.6376,0.70988,0.32407,1.75291,1.33559,1.64497,0.001505,0.001505,0.001505
27,7320,1.75761,1.3568,1.52937,0.77084,0.64776,0.73876,0.34502,1.73796,1.2961,1.6484,0.0014852,0.0014852,0.0014852
28,7591.14,1.73719,1.32107,1.50569,0.75402,0.64143,0.72721,0.34293,1.72256,1.34411,1.62306,0.0014654,0.0014654,0.0014654
29,7862.03,1.71936,1.31112,1.50162,0.76943,0.70588,0.7685,0.3664,1.7053,1.25209,1.62336,0.0014456,0.0014456,0.0014456
30,8132.97,1.71287,1.28083,1.50106,0.77536,0.71177,0.77321,0.36603,1.70341,1.2196,1.61036,0.0014258,0.0014258,0.0014258
31,8403.79,1.69085,1.28956,1.47895,0.77123,0.70416,0.78033,0.38508,1.64502,1.18872,1.56799,0.001406,0.001406,0.001406
32,8674.77,1.66528,1.24093,1.46513,0.78297,0.70963,0.79088,0.39104,1.65454,1.1888,1.58266,0.0013862,0.0013862,0.0013862
33,8945.82,1.63794,1.20599,1.45314,0.80164,0.73578,0.81206,0.41379,1.60486,1.12479,1.55426,0.0013664,0.0013664,0.0013664
34,9216.74,1.65549,1.1964,1.47079,0.77024,0.7138,0.77456,0.36035,1.68923,1.23007,1.59083,0.0013466,0.0013466,0.0013466
35,9487.68,1.62957,1.17917,1.44794,0.80238,0.73616,0.80808,0.41153,1.61508,1.12186,1.55059,0.0013268,0.0013268,0.0013268
36,9758.58,1.60194,1.14914,1.42374,0.7954,0.73833,0.80712,0.40095,1.66364,1.14492,1.58446,0.001307,0.001307,0.001307
37,10029.3,1.58907,1.11569,1.42179,0.84349,0.75815,0.83918,0.43004,1.60415,1.06258,1.54648,0.0012872,0.0012872,0.0012872
38,10300.2,1.58295,1.10008,1.42244,0.81897,0.7443,0.82483,0.43174,1.57598,1.07744,1.53205,0.0012674,0.0012674,0.0012674
