epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6233,3.66162,78.9935,3.02589,0,0,0,0,3.19259,348.343,2.93832,0.00058,0.00058,0.00058
2,48.987,2.89794,10.2595,2.24863,0.0014,0.09524,0.00068,9e-05,3.14957,92.176,11.2761,0.00116832,0.00116832,0.00116832
3,72.2996,2.59967,5.96973,2.29311,0,0,0,0,nan,nan,nan,0.00174476,0.00174476,0.00174476
4,95.4458,2.51064,5.07897,2.29924,0.58427,0.04762,0.04715,0.01384,3.20456,3.9011,3.75166,0.0019406,0.0019406,0.0019406
5,118.801,2.46007,3.45222,2.19564,0.16205,0.19048,0.12813,0.03612,2.99128,10.6784,3.11614,0.0019208,0.0019208,0.0019208
6,142.183,2.36653,3.23016,2.16743,0.20879,0.1765,0.13188,0.04206,2.62002,3.63396,2.30965,0.001901,0.001901,0.001901
7,165.556,2.39463,2.78993,2.22319,0.27176,0.28571,0.1943,0.06578,2.5404,3.61639,2.41058,0.0018812,0.0018812,0.0018812
8,188.985,2.34756,2.76646,2.17843,0.13814,0.2381,0.14392,0.04818,2.58748,2.96417,2.46169,0.0018614,0.0018614,0.0018614
9,212.27,2.21941,2.4986,2.06352,0.24192,0.14286,0.13876,0.04536,2.61296,3.13646,2.54315,0.0018416,0.0018416,0.0018416
10,235.589,2.157,2.45529,2.01029,0.31197,0.36746,0.2525,0.07337,2.73211,3.46783,2.58788,0.0018218,0.0018218,0.0018218
11,258.99,2.09207,2.31905,1.97492,0.26193,0.2381,0.17898,0.0639,2.63382,3.93816,2.71455,0.001802,0.001802,0.001802
12,282.265,2.10865,2.13148,1.96394,0.39152,0.28571,0.277,0.08562,2.59172,2.92921,2.51138,0.0017822,0.0017822,0.0017822
13,305.686,2.0431,2.04558,1.9471,0.38626,0.28571,0.2009,0.07072,2.8417,2.78848,2.64073,0.0017624,0.0017624,0.0017624
14,328.974,2.05309,2.13879,2.00465,0.37632,0.2381,0.23724,0.10061,2.53515,2.93954,2.5,0.0017426,0.0017426,0.0017426
15,352.374,1.95521,2.00587,1.92382,0.71053,0.2381,0.31967,0.15086,2.4069,2.66427,2.42595,0.0017228,0.0017228,0.0017228
16,375.814,1.90348,1.82135,1.8724,0.27555,0.28571,0.20577,0.07849,2.46907,3.41107,2.24502,0.001703,0.001703,0.001703
17,399.102,1.8763,1.74618,1.81679,0.2736,0.38095,0.23778,0.09972,2.67348,2.69046,2.4912,0.0016832,0.0016832,0.0016832
18,422.399,1.85116,1.59059,1.77768,0.37694,0.42857,0.33009,0.14097,2.40033,2.50604,2.35948,0.0016634,0.0016634,0.0016634
19,445.654,1.81166,1.62634,1.77935,0.46492,0.28571,0.23205,0.09291,2.60775,3.04476,2.62322,0.0016436,0.0016436,0.0016436
20,468.94,1.7362,1.59296,1.7535,0.66632,0.28532,0.256,0.07559,2.7833,2.58529,2.62934,0.0016238,0.0016238,0.0016238
21,492.233,1.71701,1.52081,1.69576,0.44559,0.38095,0.36666,0.15666,2.51916,2.33859,2.46615,0.001604,0.001604,0.001604
22,515.638,1.79094,1.53419,1.74804,0.66124,0.33333,0.40845,0.13991,2.63329,2.76213,2.6839,0.0015842,0.0015842,0.0015842
