epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.72,2.35524,5.68979,1.84663,0.34426,0.41,0.29106,0.11121,2.11294,2.21865,1.85638,0.000665809,0.000665809,0.000665809
2,1286.14,2.18025,2.32754,1.79131,0.36181,0.40044,0.31919,0.12217,2.08618,2.18261,1.82824,0.00131928,0.00131928,0.00131928
3,1924.28,2.1292,2.2055,1.76229,0.35911,0.42422,0.323,0.12201,2.07048,2.12774,1.87126,0.00195956,0.00195956,0.00195956
4,2561.45,2.10834,2.14036,1.74081,0.32359,0.38311,0.28343,0.09503,2.00667,2.51827,1.72879,0.0019406,0.0019406,0.0019406
5,3198.74,2.08344,2.06549,1.73941,0.47076,0.44533,0.4411,0.17366,2.0027,1.93818,1.83519,0.0019208,0.0019208,0.0019208
6,3835.85,2.06147,2.02263,1.71613,0.3982,0.44933,0.38189,0.14174,1.98425,2.14899,1.78265,0.001901,0.001901,0.001901
7,4472.94,2.04086,1.96856,1.70682,0.47444,0.51467,0.46407,0.18956,1.92685,1.836,1.72431,0.0018812,0.0018812,0.0018812
8,5110.21,2.01301,1.93173,1.6936,0.49154,0.46267,0.45662,0.17647,1.93888,2.01074,1.73618,0.0018614,0.0018614,0.0018614
9,5747.36,1.99882,1.90715,1.69385,0.48199,0.47222,0.45504,0.18069,1.96969,1.84744,1.77584,0.0018416,0.0018416,0.0018416
10,6383.82,1.98361,1.86582,1.68003,0.53122,0.52889,0.51526,0.2064,1.9163,1.79809,1.72893,0.0018218,0.0018218,0.0018218
11,7020.5,1.97037,1.82462,1.67539,0.45434,0.47044,0.44954,0.18961,1.92643,1.84407,1.78688,0.001802,0.001802,0.001802
12,7657.35,1.95972,1.79106,1.65885,0.51345,0.52733,0.52913,0.22731,1.86923,1.70388,1.71678,0.0017822,0.0017822,0.0017822
13,8294.81,1.93936,1.76029,1.64185,0.53815,0.51667,0.52987,0.21197,1.86762,1.91775,1.67677,0.0017624,0.0017624,0.0017624
14,8931.91,1.92366,1.74404,1.64078,0.61,0.55577,0.59251,0.24668,1.86747,1.62195,1.70558,0.0017426,0.0017426,0.0017426
15,9569.39,1.92076,1.7174,1.64343,0.57566,0.54928,0.58863,0.25657,1.83406,1.58439,1.68678,0.0017228,0.0017228,0.0017228
16,10206.4,1.90816,1.68551,1.63293,0.6492,0.53751,0.61124,0.2566,1.8162,1.69307,1.67945,0.001703,0.001703,0.001703
17,10844,1.89593,1.65431,1.62115,0.58849,0.54216,0.59413,0.2599,1.83914,1.54783,1.70245,0.0016832,0.0016832,0.0016832
18,11481.5,1.8855,1.64355,1.62138,0.60212,0.57244,0.60883,0.26883,1.82122,1.56268,1.68765,0.0016634,0.0016634,0.0016634
19,12119.2,1.87194,1.62404,1.59586,0.67929,0.58111,0.65967,0.28729,1.75582,1.54688,1.63014,0.0016436,0.0016436,0.0016436
20,12757,1.83056,1.57104,1.58047,0.6502,0.58,0.65406,0.29644,1.78303,1.46972,1.64837,0.0016238,0.0016238,0.0016238
21,13394.9,1.82961,1.54277,1.59154,0.67129,0.58906,0.66684,0.30223,1.77246,1.4511,1.65049,0.001604,0.001604,0.001604
22,14032.9,1.8255,1.54741,1.58352,0.66328,0.5857,0.64859,0.28916,1.76592,1.51941,1.64544,0.0015842,0.0015842,0.0015842
23,14670.5,1.80287,1.50524,1.56377,0.66749,0.62333,0.68705,0.31501,1.72109,1.42692,1.5989,0.0015644,0.0015644,0.0015644
24,15308.4,1.78125,1.47055,1.54946,0.71257,0.61041,0.7066,0.32444,1.73245,1.38733,1.63214,0.0015446,0.0015446,0.0015446
25,15946,1.77625,1.45071,1.56045,0.72841,0.63044,0.7222,0.33562,1.70738,1.36726,1.60361,0.0015248,0.0015248,0.0015248
26,16583.9,1.76254,1.41623,1.53803,0.7379,0.63556,0.73043,0.34785,1.70028,1.33873,1.5998,0.001505,0.001505,0.001505
27,17221.9,1.74798,1.39352,1.5297,0.77007,0.66511,0.76446,0.36252,1.70064,1.27129,1.59345,0.0014852,0.0014852,0.0014852
28,17859.9,1.72685,1.37413,1.52159,0.76539,0.664,0.75951,0.36868,1.6537,1.27346,1.56103,0.0014654,0.0014654,0.0014654
